j,nj
899,4.47E-02
900,4.44E-02
901,4.37E-02
902,4.36E-02
903,4.34E-02
904,4.32E-02
905,4.29E-02
906,4.28E-02
907,4.27E-02
908,4.25E-02
909,4.25E-02
910,4.23E-02
911,4.23E-02
912,4.21E-02
913,4.20E-02
914,4.20E-02
915,4.20E-02
916,4.19E-02
917,4.19E-02
918,4.17E-02
919,4.16E-02
920,4.15E-02
921,4.14E-02
922,4.13E-02
923,4.13E-02
924,4.13E-02
925,4.12E-02
926,4.10E-02
927,4.09E-02
928,4.08E-02
929,4.08E-02
930,4.08E-02
931,4.07E-02
932,4.07E-02
933,4.07E-02
934,4.06E-02
935,4.06E-02
936,4.04E-02
937,4.04E-02
938,4.04E-02
939,4.03E-02
940,4.03E-02
941,4.03E-02
942,4.02E-02
943,4.01E-02
944,4.01E-02
945,4.01E-02
946,4.00E-02
947,4.00E-02
948,3.99E-02
949,3.99E-02
950,3.98E-02
951,3.97E-02
952,3.97E-02
953,3.97E-02
954,3.97E-02
955,3.96E-02
956,3.96E-02
957,3.96E-02
958,3.96E-02
959,3.96E-02
960,3.96E-02
961,3.96E-02
962,3.95E-02
963,3.95E-02
964,3.95E-02
965,3.93E-02
966,3.92E-02
967,3.92E-02
968,3.91E-02
969,3.91E-02
970,3.91E-02
971,3.90E-02
972,3.90E-02
973,3.89E-02
974,3.89E-02
975,3.89E-02
976,3.88E-02
977,3.88E-02
978,3.87E-02
979,3.87E-02
980,3.87E-02
981,3.86E-02
982,3.86E-02
983,3.85E-02
984,3.85E-02
985,3.85E-02
986,3.84E-02
987,3.84E-02
988,3.84E-02
989,3.82E-02
990,3.82E-02
991,3.81E-02
992,3.80E-02
993,3.79E-02
994,3.79E-02
995,3.78E-02
996,3.78E-02
997,3.78E-02
998,3.78E-02
999,3.78E-02
1000,3.78E-02
1001,3.77E-02
1002,3.77E-02
1003,3.76E-02
1004,3.76E-02
1005,3.76E-02
1006,3.76E-02
1007,3.75E-02
1008,3.75E-02
1009,3.74E-02
1010,3.74E-02
1011,3.73E-02
1012,3.73E-02
1013,3.73E-02
1014,3.73E-02
1015,3.72E-02
1016,3.72E-02
1017,3.72E-02
1018,3.72E-02
1019,3.71E-02
1020,3.71E-02
1021,3.70E-02
1022,3.70E-02
1023,3.69E-02
1024,3.69E-02
1025,3.68E-02
1026,3.68E-02
1027,3.68E-02
1028,3.67E-02
1029,3.67E-02
1030,3.66E-02
1031,3.65E-02
1032,3.65E-02
1033,3.64E-02
1034,3.64E-02
1035,3.64E-02
1036,3.64E-02
1037,3.63E-02
1038,3.62E-02
1039,3.62E-02
1040,3.61E-02
1041,3.61E-02
1042,3.60E-02
1043,3.59E-02
1044,3.59E-02
1045,3.57E-02
1046,3.57E-02
1047,3.55E-02
1048,3.55E-02
1049,3.54E-02
1050,3.53E-02
1051,3.50E-02
1052,3.49E-02
1053,3.48E-02
1054,3.48E-02
1055,3.48E-02
1056,3.48E-02
1057,3.48E-02
1058,3.46E-02
1059,3.45E-02
1060,3.44E-02
1061,3.43E-02
1062,3.42E-02
1063,3.42E-02
1064,3.42E-02
1065,3.40E-02
1066,3.40E-02
1067,3.39E-02
1068,3.39E-02
1069,3.35E-02
1070,3.32E-02
1071,3.29E-02
1072,3.29E-02
1073,3.27E-02
1074,3.25E-02
1075,9.04E-03
1076,8.89E-03
1077,1.43E-07
